away_AB,away_R,away_H,away_RBI,away_BB,away_SO,away_PA,away_BA,away_OBP,away_SLG,away_OPS,away_p_H,away_p_R,away_p_ER,away_pBB,away_p_SO,away_p_ERA,home_AB,home_R,home_H,home_RBI,home_BB,home_SO,home_PA,home_BA,home_OBP,home_SLG,home_OPS,home_p_H,home_p_R,home_p_ER,home_pBB,home_p_SO,home_p_ERA,home_win
33,3,7,2,2,10,35,.212,.257,.364,.621,6,4,2,4,10, 2.25,30,4,6,4,4,10,34,.200,.294,.300,.594,7,3,3,2,10, 3.00,True
35,5,9,5,11,10,47,.257,.447,.400,.847,2,3,2,4,13, 2.00,26,3,2,3,4,13,34,.077,.182,.154,.336,9,5,5,11,10, 5.00,False
37,11,10,9,3,7,41,.270,.341,.486,.828,10,6,6,5,8, 6.00,34,6,10,5,5,8,42,.294,.390,.559,.949,10,11,9,3,7, 9.00,True
36,5,15,5,8,6,46,.417,.522,.556,1.077,11,8,7,3,4, 7.88,35,8,11,5,3,4,39,.314,.368,.400,.768,15,5,5,8,6, 5.00,True
32,2,6,2,6,5,38,.188,.316,.313,.628,5,3,3,5,14, 3.38,30,3,5,3,5,14,35,.167,.286,.300,.586,6,2,2,6,5, 2.00,True
40,10,15,9,9,16,50,.375,.500,.450,.950,15,14,14,8,8,15.75,38,14,15,13,8,8,51,.395,.500,.632,1.132,15,10,9,9,16, 9.00,False
32,1,5,1,3,12,36,.156,.250,.281,.531,3,0,0,1,9, 0.00,30,0,3,0,1,9,31,.100,.129,.100,.229,5,1,1,3,12, 1.00,False
39,5,10,4,7,17,47,.256,.370,.436,.805,11,6,1,2,9, 1.00,40,6,11,6,2,9,44,.275,.341,.300,.641,10,5,5,7,17, 4.50,True
36,3,8,3,2,13,38,.222,.263,.333,.596,6,2,2,6,13, 1.80,35,2,6,2,6,13,41,.171,.293,.257,.550,8,3,2,2,13, 1.80,False
33,8,9,7,6,5,43,.273,.395,.545,.941,6,1,0,3,10, 0.00,30,1,6,1,3,10,35,.200,.286,.267,.552,9,8,8,6,5, 8.00,False
37,2,7,2,2,10,40,.189,.250,.324,.574,9,3,2,4,13, 1.86,36,3,9,3,4,13,43,.250,.333,.306,.639,7,2,2,2,10, 1.80,True
40,7,12,7,1,12,41,.300,.317,.675,.992,10,8,8,5,10, 9.00,32,8,10,8,5,10,39,.312,.410,.594,1.004,12,7,4,1,12, 4.00,True
39,7,10,6,4,7,43,.256,.326,.641,.967,5,8,6,9,9, 6.00,32,8,5,7,9,9,43,.156,.349,.250,.599,10,7,6,4,7, 5.40,True
